,date,price
0,01.01.2023 00:00,2.01
1,01.01.2023 01:00,1.38
2,01.01.2023 02:00,0.09
3,01.01.2023 03:00,0.08
4,01.01.2023 04:00,0.05
5,01.01.2023 05:00,0.00
6,01.01.2023 06:00,-0.38
7,01.01.2023 07:00,0.00
8,01.01.2023 08:00,0.00
9,01.01.2023 09:00,0.04
10,01.01.2023 10:00,0.80
11,01.01.2023 11:00,0.08
12,01.01.2023 12:00,0.04
13,01.01.2023 13:00,0.00
14,01.01.2023 14:00,0.85
15,01.01.2023 15:00,23.53
16,01.01.2023 16:00,36.54
17,01.01.2023 17:00,46.03
18,01.01.2023 18:00,55.57
19,01.01.2023 19:00,54.95
20,01.01.2023 20:00,49.23
21,01.01.2023 21:00,44.99
22,01.01.2023 22:00,45.96
23,01.01.2023 23:00,35.00
24,02.01.2023 00:00,57.91
25,02.01.2023 01:00,51.67
26,02.01.2023 02:00,52.93
27,02.01.2023 03:00,44.16
28,02.01.2023 04:00,50.08
29,02.01.2023 05:00,77.09
30,02.01.2023 06:00,105.08
31,02.01.2023 07:00,140.64
32,02.01.2023 08:00,145.98
33,02.01.2023 09:00,147.05
34,02.01.2023 10:00,145.61
35,02.01.2023 11:00,143.35
36,02.01.2023 12:00,144.38
37,02.01.2023 13:00,143.76
38,02.01.2023 14:00,148.20
39,02.01.2023 15:00,155.34
40,02.01.2023 16:00,162.89
41,02.01.2023 17:00,170.00
42,02.01.2023 18:00,174.74
43,02.01.2023 19:00,164.46
44,02.01.2023 20:00,153.00
45,02.01.2023 21:00,141.67
46,02.01.2023 22:00,134.91
47,02.01.2023 23:00,124.22
48,03.01.2023 00:00,130.01
49,03.01.2023 01:00,120.00
50,03.01.2023 02:00,118.76
51,03.01.2023 03:00,115.00
52,03.01.2023 04:00,113.63
53,03.01.2023 05:00,116.27
54,03.01.2023 06:00,138.92
55,03.01.2023 07:00,159.92
56,03.01.2023 08:00,169.17
57,03.01.2023 09:00,171.18
58,03.01.2023 10:00,168.57
59,03.01.2023 11:00,169.49
60,03.01.2023 12:00,164.50
61,03.01.2023 13:00,160.91
62,03.01.2023 14:00,163.06
63,03.01.2023 15:00,167.73
64,03.01.2023 16:00,166.61
65,03.01.2023 17:00,170.72
66,03.01.2023 18:00,168.93
67,03.01.2023 19:00,160.99
68,03.01.2023 20:00,149.62
69,03.01.2023 21:00,130.99
70,03.01.2023 22:00,114.27
71,03.01.2023 23:00,93.66
72,04.01.2023 00:00,80.89
73,04.01.2023 01:00,70.67
74,04.01.2023 02:00,40.00
75,04.01.2023 03:00,8.68
76,04.01.2023 04:00,0.85
77,04.01.2023 05:00,11.02
78,04.01.2023 06:00,61.02
79,04.01.2023 07:00,79.20
80,04.01.2023 08:00,84.20
81,04.01.2023 09:00,83.32
82,04.01.2023 10:00,70.07
83,04.01.2023 11:00,79.74
84,04.01.2023 12:00,80.89
85,04.01.2023 13:00,79.72
86,04.01.2023 14:00,80.22
87,04.01.2023 15:00,79.74
88,04.01.2023 16:00,80.82
89,04.01.2023 17:00,86.16
90,04.01.2023 18:00,72.28
91,04.01.2023 19:00,66.61
92,04.01.2023 20:00,43.20
93,04.01.2023 21:00,31.25
94,04.01.2023 22:00,34.96
95,04.01.2023 23:00,9.09
96,05.01.2023 00:00,0.09
97,05.01.2023 01:00,0.10
98,05.01.2023 02:00,0.12
99,05.01.2023 03:00,0.12
100,05.01.2023 04:00,2.23
101,05.01.2023 05:00,10.07
102,05.01.2023 06:00,61.04
103,05.01.2023 07:00,87.19
104,05.01.2023 08:00,95.84
105,05.01.2023 09:00,125.55
106,05.01.2023 10:00,131.92
107,05.01.2023 11:00,143.07
108,05.01.2023 12:00,140.91
109,05.01.2023 13:00,142.58
110,05.01.2023 14:00,151.03
111,05.01.2023 15:00,159.48
112,05.01.2023 16:00,172.73
113,05.01.2023 17:00,194.70
114,05.01.2023 18:00,194.67
115,05.01.2023 19:00,177.98
116,05.01.2023 20:00,163.99
117,05.01.2023 21:00,152.00
118,05.01.2023 22:00,144.64
119,05.01.2023 23:00,127.00
120,06.01.2023 00:00,107.21
121,06.01.2023 01:00,101.10
122,06.01.2023 02:00,96.73
123,06.01.2023 03:00,82.34
124,06.01.2023 04:00,81.93
