HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2019-12-30 22:00;2019-12-30 23:00;DK1;181,729996;24,330000
2019-12-30 21:00;2019-12-30 22:00;DK1;221,690002;29,680000
2019-12-30 20:00;2019-12-30 21:00;DK1;221,619995;29,670000
2019-12-30 19:00;2019-12-30 20:00;DK1;229,160004;30,680000
2019-12-30 18:00;2019-12-30 19:00;DK1;235,889999;31,580000
2019-12-30 17:00;2019-12-30 18:00;DK1;257,170013;34,430000
2019-12-30 16:00;2019-12-30 17:00;DK1;258,440002;34,599998
2019-12-30 15:00;2019-12-30 16:00;DK1;256,950012;34,400002
2019-12-30 14:00;2019-12-30 15:00;DK1;251,050003;33,610001
2019-12-30 13:00;2019-12-30 14:00;DK1;235,509995;31,530001
2019-12-30 12:00;2019-12-30 13:00;DK1;228,639999;30,610001
2019-12-30 11:00;2019-12-30 12:00;DK1;226,330002;30,299999
2019-12-30 10:00;2019-12-30 11:00;DK1;201,229996;26,940001
2019-12-30 09:00;2019-12-30 10:00;DK1;217,059998;29,059999
2019-12-30 08:00;2019-12-30 09:00;DK1;238,279999;31,900000
2019-12-30 07:00;2019-12-30 08:00;DK1;239,320007;32,040001
2019-12-30 06:00;2019-12-30 07:00;DK1;226,919998;30,379999
2019-12-30 05:00;2019-12-30 06:00;DK1;200,929993;26,900000
2019-12-30 04:00;2019-12-30 05:00;DK1;122,720001;16,430000
2019-12-30 03:00;2019-12-30 04:00;DK1;35,930000;4,810000
2019-12-30 02:00;2019-12-30 03:00;DK1;10,460000;1,400000
2019-12-30 01:00;2019-12-30 02:00;DK1;46,009998;6,160000
2019-12-30 00:00;2019-12-30 01:00;DK1;88,440002;11,840000
2019-12-29 23:00;2019-12-30 00:00;DK1;82,690002;11,070000
2019-12-29 22:00;2019-12-29 23:00;DK1;155,809998;20,860001
2019-12-29 21:00;2019-12-29 22:00;DK1;190,919998;25,559999
2019-12-29 20:00;2019-12-29 21:00;DK1;224,229996;30,020000
2019-12-29 19:00;2019-12-29 20:00;DK1;229,990005;30,790001
2019-12-29 18:00;2019-12-29 19:00;DK1;243,059998;32,540001
2019-12-29 17:00;2019-12-29 18:00;DK1;249,110001;33,349998
2019-12-29 16:00;2019-12-29 17:00;DK1;253,889999;33,990002
2019-12-29 15:00;2019-12-29 16:00;DK1;252,020004;33,740002
2019-12-29 14:00;2019-12-29 15:00;DK1;245,449997;32,860001
2019-12-29 13:00;2019-12-29 14:00;DK1;230,059998;30,799999
2019-12-29 12:00;2019-12-29 13:00;DK1;228,639999;30,610001
2019-12-29 11:00;2019-12-29 12:00;DK1;239,250000;32,029999
