latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.5,13.400009,38.0,7200,Europe/Berlin,CEST

time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),direct_radiation (W/m²),diffuse_radiation (W/m²),windspeed_10m (m/s),windspeed_100m (m/s)
2015-01-01T00:00,4.0,97,0.00,0.0,0.0,3.75,7.13
2015-01-01T01:00,4.0,96,0.00,0.0,0.0,3.95,7.64
2015-01-01T02:00,3.8,96,0.00,0.0,0.0,4.01,7.92
2015-01-01T03:00,3.6,95,0.00,0.0,0.0,4.14,7.91
2015-01-01T04:00,3.3,94,0.00,0.0,0.0,4.04,7.83
2015-01-01T05:00,3.0,94,0.00,0.0,0.0,3.91,7.61
2015-01-01T06:00,2.3,94,0.00,0.0,0.0,3.60,7.24
2015-01-01T07:00,1.6,93,0.00,0.0,0.0,3.41,7.00
2015-01-01T08:00,0.9,93,0.00,0.0,0.0,4.10,7.82
2015-01-01T09:00,1.7,92,0.00,0.0,0.0,3.91,7.51
2015-01-01T10:00,1.8,91,0.00,1.0,4.0,3.70,7.18
2015-01-01T11:00,2.2,89,0.00,15.0,33.0,4.27,7.77
2015-01-01T12:00,3.0,86,0.00,83.0,53.0,4.12,7.17
2015-01-01T13:00,3.8,84,0.00,138.0,61.0,3.92,6.99
2015-01-01T14:00,4.2,83,0.00,139.0,63.0,3.85,7.31
2015-01-01T15:00,4.4,81,0.00,112.0,57.0,4.43,7.73
2015-01-01T16:00,4.0,81,0.00,60.0,43.0,4.25,7.94
2015-01-01T17:00,2.9,85,0.00,10.0,15.0,4.44,8.73
2015-01-01T18:00,2.0,89,0.00,0.0,0.0,4.16,8.42
2015-01-01T19:00,1.9,90,0.00,0.0,0.0,4.08,8.34
2015-01-01T20:00,2.2,90,0.00,0.0,0.0,4.18,8.24
2015-01-01T21:00,2.0,90,0.00,0.0,0.0,4.74,8.99
2015-01-01T22:00,1.9,90,0.00,0.0,0.0,5.31,9.60
2015-01-01T23:00,1.8,89,0.00,0.0,0.0,5.37,9.64
2015-01-02T00:00,1.8,87,0.00,0.0,0.0,5.45,10.04
2015-01-02T01:00,1.7,85,0.00,0.0,0.0,5.66,10.28
2015-01-02T02:00,1.6,84,0.00,0.0,0.0,6.10,10.96
2015-01-02T03:00,2.0,82,0.00,0.0,0.0,6.44,11.46
2015-01-02T04:00,2.7,77,0.00,0.0,0.0,6.58,11.75
2015-01-02T05:00,3.2,74,0.00,0.0,0.0,6.94,12.09
2015-01-02T06:00,3.6,72,0.20,0.0,0.0,6.79,11.90
2015-01-02T07:00,4.0,70,0.10,0.0,0.0,7.12,12.26
2015-01-02T08:00,3.5,83,0.90,0.0,0.0,7.29,12.50
2015-01-02T09:00,4.3,86,0.70,0.0,0.0,7.53,12.70
2015-01-02T10:00,4.8,88,0.50,0.0,1.0,7.65,12.88
2015-01-02T11:00,5.2,89,0.00,0.0,6.0,7.83,13.08
2015-01-02T12:00,6.0,89,0.00,0.0,16.0,7.95,13.00
2015-01-02T13:00,6.6,88,0.00,0.0,20.0,8.00,13.15
2015-01-02T14:00,7.0,88,0.00,0.0,17.0,8.46,13.71
2015-01-02T15:00,7.5,86,0.00,1.0,34.0,8.39,13.51
2015-01-02T16:00,7.3,83,0.00,15.0,34.0,7.90,12.90
2015-01-02T17:00,6.5,76,0.00,8.0,14.0,7.41,12.53
2015-01-02T18:00,5.9,74,0.00,0.0,0.0,7.40,12.41
2015-01-02T19:00,5.6,72,0.00,0.0,0.0,7.41,12.50
2015-01-02T20:00,5.5,68,0.00,0.0,0.0,7.55,12.64
2015-01-02T21:00,5.0,73,0.00,0.0,0.0,7.86,13.05
2015-01-02T22:00,4.8,73,0.00,0.0,0.0,7.95,13.23
2015-01-02T23:00,4.7,73,0.00,0.0,0.0,7.84,12.92
2015-01-03T00:00,4.6,72,0.00,0.0,0.0,7.13,12.02
2015-01-03T01:00,4.4,71,0.00,0.0,0.0,7.32,12.41
2015-01-03T02:00,4.3,70,0.00,0.0,0.0,7.82,12.91
2015-01-03T03:00,4.1,69,0.00,0.0,0.0,8.21,13.40
2015-01-03T04:00,3.9,69,0.00,0.0,0.0,8.41,13.84
2015-01-03T05:00,3.9,68,0.00,0.0,0.0,8.01,13.25
2015-01-03T06:00,3.7,69,0.00,0.0,0.0,7.40,12.31
2015-01-03T07:00,3.6,69,0.00,0.0,0.0,6.97,11.74
2015-01-03T08:00,3.3,69,0.00,0.0,0.0,7.06,11.87
2015-01-03T09:00,3.2,67,0.00,0.0,0.0,7.15,12.10
2015-01-03T10:00,3.2,66,0.00,0.0,9.0,7.75,12.97
2015-01-03T11:00,3.6,64,0.00,4.0,52.0,8.03,13.16
2015-01-03T12:00,4.2,61,0.00,7.0,85.0,7.67,12.37
2015-01-03T13:00,4.7,59,0.00,12.0,106.0,7.69,12.36
2015-01-03T14:00,5.0,58,0.00,14.0,115.0,7.66,12.30
2015-01-03T15:00,5.1,59,0.00,10.0,93.0,7.62,12.20
2015-01-03T16:00,4.8,60,0.00,8.0,58.0,7.20,11.65
2015-01-03T17:00,4.3,62,0.00,2.0,18.0,6.58,10.84
2015-01-03T18:00,3.8,66,0.00,0.0,0.0,6.43,10.75
2015-01-03T19:00,3.4,71,0.00,0.0,0.0,6.58,11.04
2015-01-03T20:00,3.1,77,0.20,0.0,0.0,6.48,10.89
2015-01-03T21:00,3.0,81,0.00,0.0,0.0,6.35,10.73
2015-01-03T22:00,3.0,82,0.00,0.0,0.0,6.30,10.50
2015-01-03T23:00,2.9,84,0.00,0.0,0.0,6.10,10.14
2015-01-04T00:00,3.0,85,0.00,0.0,0.0,5.77,9.65
2015-01-04T01:00,3.1,85,0.00,0.0,0.0,5.73,9.74
2015-01-04T02:00,3.0,85,0.00,0.0,0.0,5.92,9.84
2015-01-04T03:00,3.0,85,0.00,0.0,0.0,6.31,10.50
2015-01-04T04:00,3.0,84,0.00,0.0,0.0,6.74,10.94
2015-01-04T05:00,3.1,83,0.00,0.0,0.0,6.83,10.98
2015-01-04T06:00,3.2,82,0.00,0.0,0.0,7.06,11.38
2015-01-04T07:00,3.0,82,0.00,0.0,0.0,6.99,11.45
2015-01-04T08:00,2.7,81,0.00,0.0,0.0,6.75,11.27
2015-01-04T09:00,2.5,82,0.00,0.0,0.0,6.71,11.10
2015-01-04T10:00,2.5,80,0.00,3.0,7.0,6.66,11.05
2015-01-04T11:00,2.7,78,0.00,32.0,35.0,6.80,10.97
2015-01-04T12:00,3.4,76,0.00,100.0,53.0,5.32,8.99
2015-01-04T13:00,3.9,73,0.00,133.0,60.0,6.35,9.62
2015-01-04T14:00,4.2,70,0.00,127.0,72.0,6.55,9.93
2015-01-04T15:00,4.2,71,0.00,94.0,61.0,6.74,10.50
2015-01-04T16:00,3.9,72,0.00,48.0,45.0,6.21,10.04
2015-01-04T17:00,3.4,72,0.00,11.0,17.0,6.02,10.07
2015-01-04T18:00,3.1,72,0.00,0.0,0.0,6.25,10.28
2015-01-04T19:00,2.9,71,0.00,0.0,0.0,5.70,9.58
2015-01-04T20:00,2.6,71,0.00,0.0,0.0,5.75,9.90
2015-01-04T21:00,1.9,81,0.00,0.0,0.0,5.74,9.97
2015-01-04T22:00,1.7,82,0.00,0.0,0.0,5.54,9.77
2015-01-04T23:00,1.6,82,0.00,0.0,0.0,5.30,9.46
2015-01-05T00:00,1.3,84,0.00,0.0,0.0,5.22,9.32
2015-01-05T01:00,1.1,88,0.00,0.0,0.0,5.10,9.30
2015-01-05T02:00,1.1,90,0.00,0.0,0.0,5.01,8.96
2015-01-05T03:00,1.2,91,0.00,0.0,0.0,4.94,8.86
2015-01-05T04:00,1.5,92,0.00,0.0,0.0,5.19,9.14
2015-01-05T05:00,1.7,92,0.20,0.0,0.0,5.49,9.41
2015-01-05T06:00,2.2,92,0.40,0.0,0.0,6.00,9.95
2015-01-05T07:00,2.5,93,0.30,0.0,0.0,6.32,10.48
2015-01-05T08:00,2.6,93,0.30,0.0,0.0,6.59,10.83
2015-01-05T09:00,2.8,94,0.40,0.0,0.0,6.87,11.18
2015-01-05T10:00,2.8,94,0.40,0.0,2.0,7.12,11.50
2015-01-05T11:00,3.0,94,0.30,0.0,17.0,7.28,11.67
2015-01-05T12:00,3.2,94,0.30,0.0,37.0,6.23,9.97
2015-01-05T13:00,3.5,94,0.20,0.0,48.0,6.46,10.34
2015-01-05T14:00,3.6,95,0.20,0.0,34.0,6.08,9.88
2015-01-05T15:00,3.7,95,0.30,0.0,22.0,5.72,9.35
2015-01-05T16:00,3.7,95,0.40,0.0,17.0,5.24,8.61
2015-01-05T17:00,3.7,96,0.50,0.0,5.0,4.61,7.74
2015-01-05T18:00,3.6,96,0.50,0.0,0.0,3.94,6.77
2015-01-05T19:00,3.5,97,0.40,0.0,0.0,3.24,5.70
2015-01-05T20:00,3.4,97,0.30,0.0,0.0,2.61,4.83
2015-01-05T21:00,3.4,98,0.10,0.0,0.0,2.20,4.33
2015-01-05T22:00,3.3,98,0.00,0.0,0.0,1.84,3.84
2015-01-05T23:00,3.1,99,0.00,0.0,0.0,1.79,3.50
2015-01-06T00:00,3.0,99,0.00,0.0,0.0,1.12,2.15
2015-01-06T01:00,2.6,99,0.00,0.0,0.0,1.00,2.25
2015-01-06T02:00,2.5,100,0.00,0.0,0.0,0.61,1.75
2015-01-06T03:00,2.5,99,0.00,0.0,0.0,0.14,0.73
2015-01-06T04:00,2.4,100,0.00,0.0,0.0,0.76,0.81
2015-01-06T05:00,2.2,99,0.00,0.0,0.0,1.17,2.06
2015-01-06T06:00,1.8,99,0.00,0.0,0.0,1.56,2.62
2015-01-06T07:00,1.4,99,0.00,0.0,0.0,1.84,3.06
2015-01-06T08:00,1.0,99,0.00,0.0,0.0,2.27,3.55
2015-01-06T09:00,1.4,99,0.00,0.0,0.0,2.64,4.24
2015-01-06T10:00,1.2,99,0.00,0.0,3.0,2.86,4.32
2015-01-06T11:00,1.2,99,0.00,1.0,25.0,3.14,4.39
2015-01-06T12:00,1.4,95,0.00,8.0,60.0,3.50,4.89
