date,price
01.01.2023 00:00,2.01
01.01.2023 01:00,1.38
01.01.2023 02:00,0.09
01.01.2023 03:00,0.08
01.01.2023 04:00,0.05
01.01.2023 05:00,0.00
01.01.2023 06:00,-0.38
01.01.2023 07:00,0.00
01.01.2023 08:00,0.00
01.01.2023 09:00,0.04
01.01.2023 10:00,0.80
01.01.2023 11:00,0.08
01.01.2023 12:00,0.04
01.01.2023 13:00,0.00
01.01.2023 14:00,0.85
01.01.2023 15:00,23.53
01.01.2023 16:00,36.54
01.01.2023 17:00,46.03
01.01.2023 18:00,55.57
01.01.2023 19:00,54.95
01.01.2023 20:00,49.23
01.01.2023 21:00,44.99
01.01.2023 22:00,45.96
01.01.2023 23:00,35.00
02.01.2023 00:00,57.91
02.01.2023 01:00,51.67
02.01.2023 02:00,52.93
02.01.2023 03:00,44.16
02.01.2023 04:00,50.08
02.01.2023 05:00,77.09
02.01.2023 06:00,105.08
02.01.2023 07:00,140.64
02.01.2023 08:00,145.98
02.01.2023 09:00,147.05
02.01.2023 10:00,145.61
02.01.2023 11:00,143.35
02.01.2023 12:00,144.38
02.01.2023 13:00,143.76
02.01.2023 14:00,148.20
02.01.2023 15:00,155.34
02.01.2023 16:00,162.89
02.01.2023 17:00,170.00
02.01.2023 18:00,174.74
02.01.2023 19:00,164.46
02.01.2023 20:00,153.00
02.01.2023 21:00,141.67
02.01.2023 22:00,134.91
02.01.2023 23:00,124.22
03.01.2023 00:00,130.01
03.01.2023 01:00,120.00
03.01.2023 02:00,118.76
03.01.2023 03:00,115.00
03.01.2023 04:00,113.63
03.01.2023 05:00,116.27
03.01.2023 06:00,138.92
03.01.2023 07:00,159.92
03.01.2023 08:00,169.17
03.01.2023 09:00,171.18
03.01.2023 10:00,168.57
03.01.2023 11:00,169.49
03.01.2023 12:00,164.50
03.01.2023 13:00,160.91
03.01.2023 14:00,163.06
03.01.2023 15:00,167.73
03.01.2023 16:00,166.61
03.01.2023 17:00,170.72
03.01.2023 18:00,168.93
03.01.2023 19:00,160.99
03.01.2023 20:00,149.62
03.01.2023 21:00,130.99
03.01.2023 22:00,114.27
03.01.2023 23:00,93.66
04.01.2023 00:00,80.89
04.01.2023 01:00,70.67
04.01.2023 02:00,40.00
04.01.2023 03:00,8.68
04.01.2023 04:00,0.85
04.01.2023 05:00,11.02
04.01.2023 06:00,61.02
04.01.2023 07:00,79.20
04.01.2023 08:00,84.20
04.01.2023 09:00,83.32
04.01.2023 10:00,70.07
04.01.2023 11:00,79.74
04.01.2023 12:00,80.89
04.01.2023 13:00,79.72
04.01.2023 14:00,80.22
04.01.2023 15:00,79.74
04.01.2023 16:00,80.82
04.01.2023 17:00,86.16
04.01.2023 18:00,72.28
04.01.2023 19:00,66.61
04.01.2023 20:00,43.20
04.01.2023 21:00,31.25
04.01.2023 22:00,34.96
04.01.2023 23:00,9.09
05.01.2023 00:00,0.09
05.01.2023 01:00,0.10
05.01.2023 02:00,0.12
05.01.2023 03:00,0.12
05.01.2023 04:00,2.23
05.01.2023 05:00,10.07
05.01.2023 06:00,61.04
05.01.2023 07:00,87.19
05.01.2023 08:00,95.84
05.01.2023 09:00,125.55
05.01.2023 10:00,131.92
05.01.2023 11:00,143.07
05.01.2023 12:00,140.91
05.01.2023 13:00,142.58
05.01.2023 14:00,151.03
05.01.2023 15:00,159.48
05.01.2023 16:00,172.73
05.01.2023 17:00,194.70
05.01.2023 18:00,194.67
05.01.2023 19:00,177.98
05.01.2023 20:00,163.99
05.01.2023 21:00,152.00
05.01.2023 22:00,144.64
05.01.2023 23:00,127.00
06.01.2023 00:00,107.21
06.01.2023 01:00,101.10
06.01.2023 02:00,96.73
06.01.2023 03:00,82.34
06.01.2023 04:00,81.93
06.01.2023 05:00,84.03
06.01.2023 06:00,97.25
06.01.2023 07:00,106.51
06.01.2023 08:00,120.70
06.01.2023 09:00,116.86
06.01.2023 10:00,112.85
06.01.2023 11:00,113.37
06.01.2023 12:00,115.00
06.01.2023 13:00,109.78
06.01.2023 14:00,119.71
06.01.2023 15:00,125.83
06.01.2023 16:00,139.57
06.01.2023 17:00,155.22
06.01.2023 18:00,150.09
06.01.2023 19:00,146.15
06.01.2023 20:00,139.10
06.01.2023 21:00,131.80
06.01.2023 22:00,129.94
06.01.2023 23:00,121.30
07.01.2023 00:00,97.15
07.01.2023 01:00,98.43
07.01.2023 02:00,96.05
07.01.2023 03:00,87.97
07.01.2023 04:00,82.99
07.01.2023 05:00,83.59
07.01.2023 06:00,90.76
07.01.2023 07:00,103.21
07.01.2023 08:00,111.86
07.01.2023 09:00,112.00
07.01.2023 10:00,100.00
07.01.2023 11:00,88.32
07.01.2023 12:00,87.90
07.01.2023 13:00,94.05
07.01.2023 14:00,88.98
07.01.2023 15:00,85.56
07.01.2023 16:00,94.10
07.01.2023 17:00,96.81
07.01.2023 18:00,99.52
07.01.2023 19:00,94.58
07.01.2023 20:00,87.86
07.01.2023 21:00,61.47
07.01.2023 22:00,50.00
07.01.2023 23:00,38.25
08.01.2023 00:00,10.93
08.01.2023 01:00,9.07
08.01.2023 02:00,9.10
08.01.2023 03:00,4.16
08.01.2023 04:00,5.58
08.01.2023 05:00,9.92
08.01.2023 06:00,9.02
08.01.2023 07:00,16.47
08.01.2023 08:00,49.42
08.01.2023 09:00,82.80
08.01.2023 10:00,93.70
08.01.2023 11:00,103.87
08.01.2023 12:00,101.69
08.01.2023 13:00,99.00
08.01.2023 14:00,104.29
08.01.2023 15:00,103.64
08.01.2023 16:00,109.11
08.01.2023 17:00,118.04
08.01.2023 18:00,122.61
08.01.2023 19:00,109.11
08.01.2023 20:00,103.93
08.01.2023 21:00,98.43
08.01.2023 22:00,99.37
08.01.2023 23:00,81.34
09.01.2023 00:00,75.13
09.01.2023 01:00,64.38
09.01.2023 02:00,60.28
09.01.2023 03:00,39.41
09.01.2023 04:00,47.25
09.01.2023 05:00,69.07
09.01.2023 06:00,107.13
09.01.2023 07:00,160.00
09.01.2023 08:00,180.00
09.01.2023 09:00,177.14
09.01.2023 10:00,159.07
09.01.2023 11:00,160.57
09.01.2023 12:00,140.56
09.01.2023 13:00,137.67
09.01.2023 14:00,143.57
09.01.2023 15:00,151.02
09.01.2023 16:00,161.96
09.01.2023 17:00,174.34
09.01.2023 18:00,182.18
09.01.2023 19:00,170.24
09.01.2023 20:00,160.51
09.01.2023 21:00,138.93
09.01.2023 22:00,132.00
09.01.2023 23:00,108.31
10.01.2023 00:00,106.02
10.01.2023 01:00,96.71
10.01.2023 02:00,95.14
10.01.2023 03:00,90.36
10.01.2023 04:00,95.61
10.01.2023 05:00,108.60
10.01.2023 06:00,138.13
10.01.2023 07:00,154.73
10.01.2023 08:00,165.33
10.01.2023 09:00,160.42
10.01.2023 10:00,154.73
10.01.2023 11:00,146.45
10.01.2023 12:00,141.22
10.01.2023 13:00,141.68
10.01.2023 14:00,145.41
10.01.2023 15:00,145.92
10.01.2023 16:00,140.11
10.01.2023 17:00,146.34
10.01.2023 18:00,138.80
10.01.2023 19:00,124.44
10.01.2023 20:00,106.15
10.01.2023 21:00,86.53
10.01.2023 22:00,81.30
10.01.2023 23:00,42.96
11.01.2023 00:00,5.00
11.01.2023 01:00,0.16
11.01.2023 02:00,0.08
11.01.2023 03:00,0.01
11.01.2023 04:00,0.04
11.01.2023 05:00,2.75
11.01.2023 06:00,57.88
11.01.2023 07:00,91.11
11.01.2023 08:00,127.44
11.01.2023 09:00,126.54
11.01.2023 10:00,127.63
11.01.2023 11:00,124.81
11.01.2023 12:00,117.47
11.01.2023 13:00,110.54
11.01.2023 14:00,115.74
11.01.2023 15:00,117.70
11.01.2023 16:00,119.20
11.01.2023 17:00,128.28
11.01.2023 18:00,128.76
11.01.2023 19:00,122.70
11.01.2023 20:00,114.56
11.01.2023 21:00,93.47
11.01.2023 22:00,91.71
11.01.2023 23:00,68.54
12.01.2023 00:00,19.88
12.01.2023 01:00,5.55
12.01.2023 02:00,4.69
12.01.2023 03:00,0.10
12.01.2023 04:00,2.73
12.01.2023 05:00,24.94
12.01.2023 06:00,85.72
12.01.2023 07:00,111.55
12.01.2023 08:00,106.83
12.01.2023 09:00,97.83
12.01.2023 10:00,99.81
12.01.2023 11:00,101.10
12.01.2023 12:00,100.19
12.01.2023 13:00,99.64
12.01.2023 14:00,100.77
12.01.2023 15:00,102.13
12.01.2023 16:00,101.43
12.01.2023 17:00,112.01
12.01.2023 18:00,119.49
12.01.2023 19:00,100.79
12.01.2023 20:00,99.35
12.01.2023 21:00,84.77
12.01.2023 22:00,70.43
12.01.2023 23:00,39.57
13.01.2023 00:00,32.64
13.01.2023 01:00,16.99
13.01.2023 02:00,9.00
13.01.2023 03:00,2.65
13.01.2023 04:00,3.35
13.01.2023 05:00,25.26
13.01.2023 06:00,54.74
13.01.2023 07:00,87.88
13.01.2023 08:00,105.95
13.01.2023 09:00,100.64
13.01.2023 10:00,94.85
13.01.2023 11:00,84.93
13.01.2023 12:00,76.53
13.01.2023 13:00,70.24
13.01.2023 14:00,73.55
13.01.2023 15:00,79.85
13.01.2023 16:00,85.31
13.01.2023 17:00,96.90
13.01.2023 18:00,96.97
13.01.2023 19:00,95.91
13.01.2023 20:00,84.94
13.01.2023 21:00,76.89
13.01.2023 22:00,76.51
13.01.2023 23:00,68.30
14.01.2023 00:00,25.68
14.01.2023 01:00,34.62
14.01.2023 02:00,44.70
14.01.2023 03:00,41.23
14.01.2023 04:00,40.70
14.01.2023 05:00,40.68
14.01.2023 06:00,45.10
14.01.2023 07:00,53.40
14.01.2023 08:00,53.63
14.01.2023 09:00,56.89
14.01.2023 10:00,66.72
14.01.2023 11:00,65.56
14.01.2023 12:00,65.39
14.01.2023 13:00,62.69
14.01.2023 14:00,42.15
14.01.2023 15:00,19.92
14.01.2023 16:00,9.04
14.01.2023 17:00,11.04
14.01.2023 18:00,13.69
14.01.2023 19:00,6.84
