MTU (CET/CEST);Day-ahead Price [EUR/MWh];Currency;BZN|DK1
01.01.2023 00:00 - 01.01.2023 01:00;201;EUR;
01.01.2023 01:00 - 01.01.2023 02:00;138;EUR;
01.01.2023 02:00 - 01.01.2023 03:00;9;EUR;
01.01.2023 03:00 - 01.01.2023 04:00;8;EUR;
01.01.2023 04:00 - 01.01.2023 05:00;5;EUR;
01.01.2023 05:00 - 01.01.2023 06:00;0;EUR;
01.01.2023 06:00 - 01.01.2023 07:00;-38;EUR;
01.01.2023 07:00 - 01.01.2023 08:00;0;EUR;
01.01.2023 08:00 - 01.01.2023 09:00;0;EUR;
01.01.2023 09:00 - 01.01.2023 10:00;4;EUR;
01.01.2023 10:00 - 01.01.2023 11:00;80;EUR;
01.01.2023 11:00 - 01.01.2023 12:00;8;EUR;
01.01.2023 12:00 - 01.01.2023 13:00;4;EUR;
01.01.2023 13:00 - 01.01.2023 14:00;0;EUR;
01.01.2023 14:00 - 01.01.2023 15:00;85;EUR;
01.01.2023 15:00 - 01.01.2023 16:00;2353;EUR;
01.01.2023 16:00 - 01.01.2023 17:00;3654;EUR;
01.01.2023 17:00 - 01.01.2023 18:00;4603;EUR;
01.01.2023 18:00 - 01.01.2023 19:00;5557;EUR;
01.01.2023 19:00 - 01.01.2023 20:00;5495;EUR;
01.01.2023 20:00 - 01.01.2023 21:00;4923;EUR;
01.01.2023 21:00 - 01.01.2023 22:00;4499;EUR;
01.01.2023 22:00 - 01.01.2023 23:00;4596;EUR;
01.01.2023 23:00 - 02.01.2023 00:00;3500;EUR;
02.01.2023 00:00 - 02.01.2023 01:00;5791;EUR;
02.01.2023 01:00 - 02.01.2023 02:00;5167;EUR;
02.01.2023 02:00 - 02.01.2023 03:00;5293;EUR;
02.01.2023 03:00 - 02.01.2023 04:00;4416;EUR;
02.01.2023 04:00 - 02.01.2023 05:00;5008;EUR;
02.01.2023 05:00 - 02.01.2023 06:00;7709;EUR;
02.01.2023 06:00 - 02.01.2023 07:00;10508;EUR;
02.01.2023 07:00 - 02.01.2023 08:00;14064;EUR;
02.01.2023 08:00 - 02.01.2023 09:00;14598;EUR;
02.01.2023 09:00 - 02.01.2023 10:00;14705;EUR;
02.01.2023 10:00 - 02.01.2023 11:00;14561;EUR;
02.01.2023 11:00 - 02.01.2023 12:00;14335;EUR;
02.01.2023 12:00 - 02.01.2023 13:00;14438;EUR;
02.01.2023 13:00 - 02.01.2023 14:00;14376;EUR;
02.01.2023 14:00 - 02.01.2023 15:00;14820;EUR;
02.01.2023 15:00 - 02.01.2023 16:00;15534;EUR;
02.01.2023 16:00 - 02.01.2023 17:00;16289;EUR;
02.01.2023 17:00 - 02.01.2023 18:00;17000;EUR;
02.01.2023 18:00 - 02.01.2023 19:00;17474;EUR;
02.01.2023 19:00 - 02.01.2023 20:00;16446;EUR;
02.01.2023 20:00 - 02.01.2023 21:00;15300;EUR;
02.01.2023 21:00 - 02.01.2023 22:00;14167;EUR;
02.01.2023 22:00 - 02.01.2023 23:00;13491;EUR;
02.01.2023 23:00 - 03.01.2023 00:00;12422;EUR;
03.01.2023 00:00 - 03.01.2023 01:00;13001;EUR;
03.01.2023 01:00 - 03.01.2023 02:00;12000;EUR;
03.01.2023 02:00 - 03.01.2023 03:00;11876;EUR;
03.01.2023 03:00 - 03.01.2023 04:00;11500;EUR;
03.01.2023 04:00 - 03.01.2023 05:00;11363;EUR;
03.01.2023 05:00 - 03.01.2023 06:00;11627;EUR;
03.01.2023 06:00 - 03.01.2023 07:00;13892;EUR;
03.01.2023 07:00 - 03.01.2023 08:00;15992;EUR;
03.01.2023 08:00 - 03.01.2023 09:00;16917;EUR;
03.01.2023 09:00 - 03.01.2023 10:00;17118;EUR;
03.01.2023 10:00 - 03.01.2023 11:00;16857;EUR;
03.01.2023 11:00 - 03.01.2023 12:00;16949;EUR;
03.01.2023 12:00 - 03.01.2023 13:00;16450;EUR;
03.01.2023 13:00 - 03.01.2023 14:00;16091;EUR;
03.01.2023 14:00 - 03.01.2023 15:00;16306;EUR;
03.01.2023 15:00 - 03.01.2023 16:00;16773;EUR;
03.01.2023 16:00 - 03.01.2023 17:00;16661;EUR;
03.01.2023 17:00 - 03.01.2023 18:00;17072;EUR;
