latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.5,13.400009,38.0,3600,Europe/London,BST

time,temperature_2m (°C),direct_radiation (W/m²),diffuse_radiation (W/m²),windspeed_10m (m/s),windspeed_100m (m/s)
2020-01-01T00:00,2.3,0.0,0.0,2.63,6.04
2020-01-01T01:00,1.8,0.0,0.0,2.80,6.04
2020-01-01T02:00,1.5,0.0,0.0,3.11,6.41
2020-01-01T03:00,1.1,0.0,0.0,2.61,5.76
2020-01-01T04:00,0.7,0.0,0.0,2.32,5.47
2020-01-01T05:00,0.2,0.0,0.0,2.72,5.81
2020-01-01T06:00,-0.0,0.0,0.0,3.10,6.23
2020-01-01T07:00,-0.3,0.0,0.0,3.00,6.04
2020-01-01T08:00,-0.2,0.0,0.0,2.70,5.67
2020-01-01T09:00,-0.1,2.0,7.0,2.61,5.43
2020-01-01T10:00,0.8,20.0,36.0,2.92,5.22
2020-01-01T11:00,2.5,62.0,58.0,2.55,4.50
2020-01-01T12:00,3.1,69.0,71.0,2.67,3.95
2020-01-01T13:00,3.7,79.0,84.0,2.53,3.61
2020-01-01T14:00,3.7,90.0,58.0,2.33,3.67
2020-01-01T15:00,3.4,40.0,47.0,2.36,4.53
2020-01-01T16:00,2.6,7.0,15.0,2.27,5.41
2020-01-01T17:00,1.7,0.0,0.0,2.64,6.16
2020-01-01T18:00,1.1,0.0,0.0,2.64,6.28
2020-01-01T19:00,0.7,0.0,0.0,2.90,6.38
2020-01-01T20:00,0.2,0.0,0.0,3.11,6.81
2020-01-01T21:00,-0.4,0.0,0.0,3.26,7.12
2020-01-01T22:00,-0.8,0.0,0.0,3.20,7.02
2020-01-01T23:00,-1.4,0.0,0.0,2.52,6.36
2020-01-02T00:00,-2.3,0.0,0.0,2.19,5.41
2020-01-02T01:00,-2.0,0.0,0.0,2.66,4.41
2020-01-02T02:00,-2.6,0.0,0.0,2.28,4.22
2020-01-02T03:00,-3.0,0.0,0.0,2.28,4.57
