time,temperature_2m (°C),direct_radiation (W/m²),diffuse_radiation (W/m²),windspeed_10m (m/s),windspeed_100m (m/s)
2023-01-01T00:00,15.0,0.0,0.0,7.84,13.24
2023-01-01T01:00,14.9,0.0,0.0,7.98,13.38
2023-01-01T02:00,14.9,0.0,0.0,7.84,13.26
2023-01-01T03:00,14.7,0.0,0.0,7.76,12.98
2023-01-01T04:00,14.4,0.0,0.0,7.61,12.72
2023-01-01T05:00,14.2,0.0,0.0,7.07,12.03
2023-01-01T06:00,13.9,0.0,0.0,6.94,12.09
2023-01-01T07:00,14.1,0.0,0.0,7.07,12.10
2023-01-01T08:00,14.4,0.0,0.0,7.29,12.23
2023-01-01T09:00,14.1,1.0,7.0,7.14,12.18
2023-01-01T10:00,14.2,17.0,43.0,7.22,12.15
2023-01-01T11:00,14.5,24.0,63.0,7.00,11.64
2023-01-01T12:00,14.8,53.0,87.0,6.92,11.32
2023-01-01T13:00,14.9,51.0,106.0,6.33,10.44
2023-01-01T14:00,14.7,36.0,90.0,6.06,10.16
2023-01-01T15:00,14.2,15.0,61.0,5.51,9.71
2023-01-01T16:00,13.5,1.0,19.0,4.63,8.60
2023-01-01T17:00,12.7,0.0,0.0,3.91,7.82
2023-01-01T18:00,12.0,0.0,0.0,3.48,7.41
2023-01-01T19:00,11.4,0.0,0.0,3.20,7.15
2023-01-01T20:00,11.4,0.0,0.0,3.58,7.59
2023-01-01T21:00,11.5,0.0,0.0,3.54,7.42
2023-01-01T22:00,11.6,0.0,0.0,3.36,7.08
2023-01-01T23:00,11.4,0.0,0.0,3.05,7.00
2023-01-02T00:00,11.2,0.0,0.0,2.42,5.86
2023-01-02T01:00,11.1,0.0,0.0,2.20,5.35
2023-01-02T02:00,11.0,0.0,0.0,2.75,6.20
2023-01-02T03:00,11.1,0.0,0.0,3.63,7.90
2023-01-02T04:00,11.3,0.0,0.0,3.91,8.16
2023-01-02T05:00,11.3,0.0,0.0,3.89,8.03
2023-01-02T06:00,11.2,0.0,0.0,3.94,8.22
2023-01-02T07:00,11.5,0.0,0.0,4.77,9.31
2023-01-02T08:00,12.0,0.0,0.0,5.08,9.57
2023-01-02T09:00,12.2,0.0,6.0,5.10,9.89
2023-01-02T10:00,12.8,17.0,42.0,5.52,10.29
2023-01-02T11:00,13.4,47.0,63.0,4.86,9.13
2023-01-02T12:00,14.0,69.0,75.0,4.94,8.94
2023-01-02T13:00,14.3,53.0,84.0,5.55,9.76
2023-01-02T14:00,13.5,8.0,77.0,5.87,10.21
2023-01-02T15:00,13.0,5.0,43.0,6.27,10.69
2023-01-02T16:00,12.6,2.0,17.0,6.37,10.79
2023-01-02T17:00,12.0,0.0,0.0,5.39,9.22
2023-01-02T18:00,11.5,0.0,0.0,5.15,8.95
2023-01-02T19:00,11.0,0.0,0.0,4.90,8.51
2023-01-02T20:00,10.4,0.0,0.0,4.10,7.21
2023-01-02T21:00,9.9,0.0,0.0,3.91,7.00
2023-01-02T22:00,9.4,0.0,0.0,4.03,7.22
2023-01-02T23:00,8.9,0.0,0.0,4.10,7.60
2023-01-03T00:00,8.6,0.0,0.0,4.47,8.15
2023-01-03T01:00,8.0,0.0,0.0,4.55,8.34
2023-01-03T02:00,7.7,0.0,0.0,4.51,8.20
2023-01-03T03:00,7.8,0.0,0.0,4.62,8.17
2023-01-03T04:00,7.5,0.0,0.0,4.31,7.55
2023-01-03T05:00,6.9,0.0,0.0,4.10,7.33
2023-01-03T06:00,6.4,0.0,0.0,4.10,7.31
2023-01-03T07:00,6.1,0.0,0.0,3.91,7.10
2023-01-03T08:00,5.6,0.0,0.0,3.82,6.81
2023-01-03T09:00,5.5,2.0,6.0,3.73,6.53
2023-01-03T10:00,5.9,19.0,30.0,3.95,6.75
2023-01-03T11:00,6.1,29.0,53.0,4.11,6.42
2023-01-03T12:00,6.5,62.0,66.0,4.21,6.21
2023-01-03T13:00,6.5,57.0,82.0,3.61,5.32
2023-01-03T14:00,6.5,46.0,58.0,3.31,4.83
2023-01-03T15:00,6.3,15.0,42.0,2.80,4.40
2023-01-03T16:00,5.9,5.0,13.0,2.35,4.57
2023-01-03T17:00,5.3,0.0,0.0,1.84,4.27
2023-01-03T18:00,4.4,0.0,0.0,1.78,3.72
2023-01-03T19:00,3.6,0.0,0.0,2.06,3.40
2023-01-03T20:00,2.9,0.0,0.0,1.70,4.03
2023-01-03T21:00,3.6,0.0,0.0,2.31,5.55
2023-01-03T22:00,4.6,0.0,0.0,2.83,6.43
2023-01-03T23:00,5.0,0.0,0.0,3.04,6.47
2023-01-04T00:00,4.8,0.0,0.0,3.31,6.80
2023-01-04T01:00,4.3,0.0,0.0,3.45,7.16
2023-01-04T02:00,3.9,0.0,0.0,3.89,7.96
2023-01-04T03:00,3.7,0.0,0.0,4.34,8.39
2023-01-04T04:00,3.6,0.0,0.0,4.59,8.73
2023-01-04T05:00,3.9,0.0,0.0,4.97,9.27
2023-01-04T06:00,4.2,0.0,0.0,5.32,9.60
2023-01-04T07:00,4.7,0.0,0.0,5.76,10.10
2023-01-04T08:00,5.7,0.0,0.0,6.20,10.83
2023-01-04T09:00,6.0,0.0,3.0,6.53,11.36
2023-01-04T10:00,6.4,0.0,10.0,6.85,11.68
2023-01-04T11:00,6.9,0.0,14.0,7.40,12.40
2023-01-04T12:00,7.4,0.0,16.0,7.61,12.68
2023-01-04T13:00,7.8,0.0,14.0,7.72,12.80
2023-01-04T14:00,8.2,0.0,13.0,8.07,13.19
2023-01-04T15:00,8.7,0.0,10.0,8.03,13.14
2023-01-04T16:00,9.2,0.0,3.0,8.04,13.32
2023-01-04T17:00,9.5,0.0,0.0,8.23,13.48
2023-01-04T18:00,9.6,0.0,0.0,8.09,13.26
2023-01-04T19:00,9.5,0.0,0.0,7.96,13.09
2023-01-04T20:00,9.8,0.0,0.0,7.72,12.75
2023-01-04T21:00,10.0,0.0,0.0,7.56,12.58
2023-01-04T22:00,10.0,0.0,0.0,7.37,12.18
2023-01-04T23:00,9.7,0.0,0.0,7.68,12.43
2023-01-05T00:00,9.5,0.0,0.0,7.53,12.33
2023-01-05T01:00,9.2,0.0,0.0,7.81,13.01
2023-01-05T02:00,9.1,0.0,0.0,7.72,12.81
2023-01-05T03:00,8.9,0.0,0.0,7.75,12.84
2023-01-05T04:00,8.7,0.0,0.0,8.13,13.22
2023-01-05T05:00,8.6,0.0,0.0,8.20,13.20
2023-01-05T06:00,8.3,0.0,0.0,7.90,12.81
2023-01-05T07:00,8.3,0.0,0.0,7.52,12.47
2023-01-05T08:00,8.4,0.0,0.0,7.62,12.46
2023-01-05T09:00,8.2,1.0,6.0,7.82,12.79
2023-01-05T10:00,8.4,20.0,33.0,8.06,12.96
2023-01-05T11:00,8.6,36.0,62.0,7.86,12.56
2023-01-05T12:00,8.8,55.0,68.0,8.30,13.17
2023-01-05T13:00,9.0,61.0,66.0,8.35,13.16
2023-01-05T14:00,8.7,42.0,54.0,7.82,12.33
2023-01-05T15:00,8.4,20.0,39.0,7.07,11.27
2023-01-05T16:00,8.0,7.0,12.0,6.31,10.25
2023-01-05T17:00,7.2,0.0,0.0,5.82,9.50
2023-01-05T18:00,6.5,0.0,0.0,5.30,8.68
2023-01-05T19:00,5.6,0.0,0.0,4.70,7.82
2023-01-05T20:00,5.8,0.0,0.0,4.24,6.93
2023-01-05T21:00,5.5,0.0,0.0,3.44,5.86
2023-01-05T22:00,4.9,0.0,0.0,2.51,4.43
